,First name,Last name,Research Area
126,Roderick,"Dashwood, PhD, FRSB","('Tumors--Immunological aspects, ', 'Epigenetics, ', 'Diet, ', 'Cancer')"
127,Randall,Davis,"('Physiology, Comparative, ', 'Deep diving, ', 'Antarctica, ', 'Marine biology--Research, ', 'Marine mammals, ', 'Sea turtles')"
128,Timothy,Davis,"('Graph algorithms, ', 'Sparse matrices, ', 'Software')"
129,Trina,Davis,"('Virtual reality, ', 'International Society for Technology in Education, ', 'Creative ability, ', 'Creativity, ', 'Educational technology, ', 'Mathematics--Study and teaching, ', 'Teachers--Training of')"
130,Shannon,Deer,"('Learning, Leadership, Organization Development, ', 'Learning, ', 'Sustainable development, ', 'Teaching, ', 'Women--Social conditions, ', 'Human trafficking')"
131,James,Derr,"('American bison, ', 'Africa, ', 'Molecular genetics, ', 'Genomics, ', 'Wildlife conservation, ', 'Livestock')"
132,Nicolaas,Deutz,"('Clinical Nutrition, ', 'Amino acids--Metabolism')"
133,Steven,DiMarco,"('Oceanography',)"
134,Joshua,Dicaglio,"('Criticism, interpretation, etc., ', 'Rhetoric--Philosophy, ', 'Communication in science, ', 'Rhetoric, ', 'Science fiction, ', 'Critical theory')"
135,Xuejun,Dong,"('Soil moisture, ', 'Cropping systems, ', 'Crops--Physiology, ', 'Environmental, ', 'Ecology, ', 'Environment')"
136,Kim,Dooley,"('Educational technology--Study and teaching, ', 'Experiential learning, ', 'Agricultural development projects--International cooperation')"
137,Sharon,Dormire,"('Mothers--Mortality, ', 'Pregnancy, ', 'Allostasis, ', 'Life change events')"
138,Stacy,Drake,"('Mortality, ', 'Premature death, ', 'Wounds and injuries, ', 'Forensic pathologists, ', 'Death')"
139,Rebekka,Dudensing,"('Community development, ', 'Rural development, ', 'Strategic planning, ', 'Regional planning, ', 'Transportation, ', 'Economic policy')"
140,Nick,Duffield,"('Big data, ', 'Precision agriculture, ', 'Precision farming, ', 'Hydrology, ', 'Computer networks, ', 'Transportation, ', 'Machine learning')"
141,Jennifer,Dulin,"('Neural stem cells--Transplantation, ', 'Developmental neurobiology, ', 'Spinal cord--Regeneration, ', 'Neurobiology')"
142,Johanna,Dunaway,"('Polarization (Social sciences), ', 'Communication in politics, ', 'Press, ', 'Political science, ', 'Mass media, ', 'Information technology, ', 'Elections, ', 'Mobile communication systems, ', 'Political campaigns, ', 'Public opinion')"
143,Robert,Durán,"('Law enforcement, ', 'Criminal justice, Administration of, ', 'Mexican Americans, ', 'Race discrimination, ', 'Gangs, ', 'Criminology, ', 'Violence')"
144,Rotem,Dvir,"('Security, International, ', 'Political psychology, ', 'International relations')"
145,Bruce,Dvorak,"('Ecological regions, ', 'Green roofs (Gardening), ', 'Landscape architecture--Conservation and restoration, ', 'Landscape architecture')"
146,David,Eckman,"('Monte Carlo method, ', 'Mathematical optimization, ', 'Computer simulation')"
147,Gabriel,Eckstein,"('Environmental law, International, ', 'Land use, ', 'Science and law, ', 'Water rights (International law), ', 'Renewable energy sources--Law and legislation, ', 'Water--Law and legislation, ', 'Property')"
148,Lorraine,Eden,"('International business enterprises--Taxation--Law and legislation, ', 'Transfer pricing, ', 'International business enterprises, ', 'Commercial policy, ', 'Corruption, ', 'Industrial policy')"
149,John,Edens,"('Personality assessment, ', 'Forensic psychology, ', 'Psychology, ', 'Crime, ', 'Mental illness, ', 'Personality disorders')"
150,Rebecca,Egbert,"('Social psychology, ', 'Developmental psychology, ', 'Cognitive psychology, ', 'Cognitive neuroscience')"
151,Ceyhun,Eksin,"('Game theory, ', 'Multiagent systems, ', 'Computer networks, ', 'Signal processing--Statistical methods, ', 'Control theory, ', 'Autonomous robots')"
